,Data Cloud All Accounts

,BU ,ANZ,,Snapshot
,OU,*,,# of accounts,304
,AOV Band,"01. >25M, 02. 10M-25M, 03. 5M-10M, 04. 1M-5M, 05. 500K-1M, 06. 100K-500K, 10. <1K, 09. 1K-10K, 08. 10K-50K, 07. 50K-100K",,AOV ($),28M
,Success Plan,*,,DS allowance,31B
,CL Influence,*
,FDE Covered,*
,,ACCT_NM,CY_DATACLOUD_AOV,CY_DATACLOUD_ACV,CY_DATACLOUD_OP,CY_DATACLOUD_PG,ORG62_SUPPORT_LEVEL,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,DATA SERVICE CREDITS
,OU,# of Accounts,DC AOV,DC ACV,DC OP,DC PG,Success Plan,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
